Solution 4;
0;0.57
10;0.56
20;0.537
30;0.523
40;0.507
50;0.497
60;0.489
70;0.474
80;0.462
90;0.445
100;0.438
110;0.427
120;0.417
130;0.407
140;0.397
160;0.383
170;0.368
180;0.36
190;0.35
200;0.341
210;0.332
220;0.324
230;0.316
270;0.285
300;0.265
330;0.246
360;0.227
390;0.21
420;0.194
480;0.166
540;0.142
600;0.121
660;0.142
720;0.087
