Solution 2;
0;0.575
10;
20;0.534
30;0.515
40;0.493
50;0.47
60;0.451
70;0.434
80;0.412
90;0.398
100;0.381
110;0.362
120;0.347
130;0.333
140;0.319
150;0.306
160;0.293
170;0.281
180;0.269
190;
200;0.247
210;0.237
220;0.227
230;0.217
240;0.208
270;0.183
300;0.16
330;0.141
360;0.124
390;0.11
420;0.095
480;0.073
540;0.056
600;0.043
720;0.025
