Solution 1;
0;0.617
10;0.575
20;0.538
30;0.493
40;0.458
50;0.413
60;0.395
70;0.366
80;0.339
90;0.314
100;0.291
110;0.27
120;0.25
130;0.232
140;0.215
150;0.2
160;0.185
170;0.171
180;0.159
190;0.147
200;0.137
210;0.127
220;0.118
230;0.109
240;0.1
270;0.087
300;0.07
330;0.056
360;0.045
390;0.037
420;0.029
450;0.024
480;0.02
510;0.017
540;0.015
570;0.009
630;0.007
690;0.005
750;0.004
870;0.003
990;0.003
